"id","name","bussines_name","rfc","comments_on_delivery","date_joined","date_created","date_updated","direction_id"
"277","PROLOGIS DE MEXICO TIJUANA","PROLOGIS DE MEXICO SA DE CV","RME120120G69","","2023-07-19","2023-07-19 08:21:17.089297+00","2023-07-19 08:06:45.017748+00","357"
"278","SMP AUTOMOTIVE SYSTEMS CUAUTLANCINGO","SMP AUTOMOTIVE SYSTEMS, SA DE  CV","PME971003NH7","","2023-07-19","2023-07-19 08:21:17.246466+00","2023-07-19 08:06:45.27537+00","358"
"279","ASPEL MOLDING DE MEXICO EL MARQUES","ASPEL MOLDING DE MEXICO, S.A. DE C.V","NALR6210222J0","","2023-07-19","2023-07-19 08:21:17.401479+00","2023-07-19 08:06:45.560767+00","359"
"280","VIBRACOUSTIC DE MEXICO  EL MARQUES","VIBRACOUSTIC DE MEXICO SA CV","VME050207748","","2023-07-19","2023-07-19 08:21:17.555111+00","2023-07-19 08:06:45.810168+00","360"
"281","COMERCIAL VEHICLE GROUP MEXICO SALTILLO","COMERCIAL VEHICLE GROUP MEXICO, S DE RL DE CV","CVG060726AA8","","2023-07-19","2023-07-19 08:21:17.708799+00","2023-07-19 08:06:46.094852+00","361"
"282","UNIQUE FABRICATING DE MÉXICO  QUERETARO PARK IV","UNIQUE FABRICATING DE MÉXICO S.A. DE C.V.","UFM030725814","","2023-07-19","2023-07-19 08:21:17.861819+00","2023-07-19 08:06:46.326577+00","362"
"283","QUARDER DE MEXICO PARQUE TECNOLOGICO INNOVACION QUERETARO","QUARDER DE MEXICO SA DE CV","QME061019HR7","","2023-07-19","2023-07-19 08:21:18.014805+00","2023-07-19 08:06:46.582235+00","363"
"284","YAMADA VISTAMEX APASEO EL GRANDE","YAMADA VISTAMEX SA DE CV","YAM111101AZ8","","2023-07-19","2023-07-19 08:21:18.169318+00","2023-07-19 08:06:46.875053+00","364"
"285","HYUNDAI WIA DE MEXICO LA ARENA","HYUNDAI WIA MEXICO S DE RL DE CV","HPM1409018L8",NULL,"2023-07-19","2024-11-27 20:01:24.725394+00","2023-07-19 08:06:47.117159+00","365"
"286","HUTCHINSON AUTOPARTES MEXICO","HUTCHINSON AUTOPARTES MEXICO SA DE CV","HAM830922IC4","","2023-07-19","2023-07-19 08:21:18.475546+00","2023-07-19 08:06:47.398174+00","366"
"287","RPS EXTENSIÓN SAN JUAN IXHUATEPEC","RAFAEL OVIN","RPS110525M55","","2023-07-19","2023-07-19 08:21:18.629017+00","2023-07-19 08:06:47.632538+00","367"
"288","PLASTIC TRENDS GDL","PLASTIC TRENDS SAPI DE CV","PTR1011056A2","","2023-07-19","2023-07-19 08:21:18.783615+00","2023-07-19 08:06:47.866264+00","368"
"289","MULTISEÑAL CD DE México","MULTISEÑAL SA DE CV","MUL0107258Y4","","2023-07-19","2023-07-19 08:21:18.938913+00","2023-07-19 08:06:48.099891+00","369"
"290","KARLA FLORES PEREZ Santa bárbara","KARLA FLORES PEREZ","FOPK850902AJ9","","2023-07-19","2023-07-19 08:21:19.092814+00","2023-07-19 08:06:48.332409+00","370"
"291","AGROPIONERO DEL SUR","AGROPIONERO DEL SUR","POMH8505251J2","","2023-07-19","2023-07-19 08:21:19.247025+00","2023-07-19 08:06:48.566316+00","371"
"292","MEXALIT INDUSTRIAL ECATEPEC","MEXALIT INDUSTRIAL, SA DE CV","MIN920101UR1","","2023-07-19","2023-07-19 08:21:19.399948+00","2023-07-19 08:06:48.79586+00","372"
"293","RELLENO SANITARIO SAN JUAN DEL RIO","RELLENO SANITARIO SAN JUAN DEL RIO","ZLO161019SK2","","2023-07-19","2023-07-19 08:21:19.553217+00","2023-07-19 08:06:49.030596+00","373"
"294","FASTENAL MEXICO CONJUNTO INDUSTRIAL EIZEN","FASTENAL MEXICO S DE RL DE CV","FME991110CZ9","","2023-07-19","2023-07-19 08:21:19.706885+00","2023-07-19 08:06:49.259796+00","374"
"295","RINOL MEXICO (PARQUE INDUSTRIAL ORIENTE TORREÓN)","RINOL MEXICO SA DE CV","RME120120G69","","2023-07-19","2023-07-19 08:21:19.860987+00","2023-07-19 08:06:49.491743+00","375"
"296","RINOL MEXICO PUEBLA","RINOL MEXICO SA DE CV","RME120120G69","","2023-07-19","2023-07-19 08:21:20.019881+00","2023-07-19 08:06:49.722795+00","376"
"297","SIETE LEGUAS AUTOMOTIVE (GOMEZ PALACIOS DGO)","SIETE LEGUAS AUTOMOTIVE SA DE CV","SLA180404Q42","EPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN DE 8 AM A 5 PM","2023-07-19","2023-07-19 08:21:20.173829+00","2023-07-19 08:06:49.954837+00","377"
"298","PLASTIC TEC LERMA","PLASTIC TEC, SA DE CV","PTE950116TV0","SUA, EPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN 8 AM a 5 PM","2023-07-19","2023-07-19 08:21:20.328738+00","2023-07-19 08:06:50.185848+00","378"
"299","Norveg Querétaro","Representaciones norveg sa de cv","RNO871009E82","","2023-07-19","2023-07-19 08:21:20.482865+00","2023-07-19 08:06:50.416064+00","379"
"300","SAMSUNG	PARQUE INDUSTRIAL QRO","SAMSUNG","SEM950215S98","","2023-07-19","2023-07-19 08:21:20.639195+00","2023-07-19 08:06:50.647353+00","380"
"301","AGUILARES CORTAZAR","AGUILARES SPR DE RL","LOMM760311IP8","","2023-07-19","2023-07-19 08:21:20.793017+00","2023-07-19 08:06:50.876195+00","381"
"302","RANCHO LOS AGUILARES","RANCHO LOS AGUILARES","CAMM781117M29","","2023-07-19","2023-07-19 08:21:20.947192+00","2023-07-19 08:06:51.109739+00","382"
"303","UREBLOCK","UREBLOCK S.A. DE C.V","URE780612C48","EPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN 8 AM a 5 PM","2023-07-19","2023-07-19 08:21:21.098774+00","2023-07-19 08:06:51.340206+00","383"
"304","RINOL MEXICO LEON","RINOL MEXICO SA DE CV","RME120120G69","","2023-07-19","2023-07-19 08:21:21.252828+00","2023-07-19 08:06:51.575224+00","384"
"305","KOSTAL MEXICANA  QUERETARO","KOSTAL MEXICANA SA DE CV","KME850218KA9","","2023-07-19","2023-07-19 08:21:21.407895+00","2023-07-19 08:06:51.804938+00","385"
"306","OPEN GATE MULTILOG INTERNACIONAL SILAO","OPEN GATE MULTILOG INTERNACIONAL SA DE CV","MIN1002195D0","","2023-07-19","2023-07-19 08:21:21.561763+00","2023-07-19 08:06:52.041122+00","386"
"307","TOYOTA MANUFACTURING DE GUANAJUATO","TOYOTA MANUFACTURING DE GUANAJUATO","IPN0502102D7","","2023-07-19","2023-07-19 08:21:21.714843+00","2023-07-19 08:06:52.271724+00","387"
"308","Plásticos Manufacturados del Bajío  Apaseo el alto","Plásticos Manufacturados del Bajío","PMB140204P81","","2023-07-19","2023-07-19 08:21:21.86965+00","2023-07-19 08:06:52.501722+00","388"
"309","Effem mexico inc y compañia s en cd coyoacan","Effem mexico inc y compañia s en cd","EME940318NI5","","2023-07-19","2023-07-19 08:21:22.036859+00","2023-07-19 08:06:52.732289+00","389"
"310","529 QRO Ezequiel Montes","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:22.193527+00","2023-07-19 08:06:52.963664+00","390"
"311","532 QRO San Juan del Rio","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:22.3489+00","2023-07-19 08:06:53.199179+00","391"
"312","574 QRO Tequisquiapan","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:22.503702+00","2023-07-19 08:06:53.428319+00","392"
"313","580 QRO Cadereyta","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:22.661811+00","2023-07-19 08:06:53.659781+00","393"
"314","T601	QRO La Negreta","TIENDAS TRES B SA DE CV","TTB040915CY9",NULL,"2023-07-19","2024-07-29 18:47:24.928211+00","2023-07-19 08:06:53.888737+00","394"
"315","615	QRO Colon","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:23.005757+00","2023-07-19 08:06:54.119731+00","395"
"316","616	QRO Pedregoso","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:23.213482+00","2023-07-19 08:06:54.352079+00","396"
"317","639	QRO El Rocio","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:23.388128+00","2023-07-19 08:06:54.586203+00","397"
"318","642	QRO El Pueblito","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:23.54586+00","2023-07-19 08:06:54.821517+00","398"
"319","652	QRO Mercado Escobedo","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:23.754458+00","2023-07-19 08:06:55.053766+00","399"
"320","661	GTO Celaya Mercado Dorado","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:23.933922+00","2023-07-19 08:06:55.283821+00","400"
"321","704	Pedro Escobedo","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:24.087859+00","2023-07-19 08:06:55.515491+00","401"
"322","713	QRO Jauregui","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:24.272837+00","2023-07-19 08:06:55.747793+00","402"
"323","765	QRO Ezequiel Montes 2","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:24.426565+00","2023-07-19 08:06:55.984252+00","403"
"324","767	QRO El Tintero","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:24.59561+00","2023-07-19 08:06:56.221814+00","404"
"325","947	QRO Plateros","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:24.750664+00","2023-07-19 08:06:56.449788+00","405"
"326","988	QRO Toliman","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:24.960379+00","2023-07-19 08:06:56.679778+00","406"
"327","989 QRO Huimilpan","TIENDAS TRES B SA DE CV","TTB040915CY9",NULL,"2023-07-19","2025-01-02 21:43:22.426763+00","2023-07-19 08:06:56.909568+00","407"
"328","1108	QRO Santa Barbara","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:25.272766+00","2023-07-19 08:06:57.141252+00","408"
"329","HITACHI ASTEMO MEXICO","HITACHI ASTEMO MEXICO SA DE CV.","HAS120702332","","2023-07-19","2023-07-19 08:21:25.434818+00","2023-07-19 08:06:57.37402+00","409"
"330","POLIFORMAS PLASTICAS NEZAHUALCOYOTL","POLIFORMAS PLASTICAS S.A. DE C.V.","PPL760517UC4","","2023-07-19","2023-07-19 08:21:25.586533+00","2023-07-19 08:06:57.608274+00","410"
"331","MAGNA ASSEMBLY SYSTEMS DE MEXICO CELAYA","MAGNA ASSEMBLY SYSTEMS DE MEXICO, SA DE CV","MAS080522HK5","","2023-07-19","2023-07-19 08:21:25.740667+00","2023-07-19 08:06:57.83902+00","411"
"332","CENTRACORE COMPANY DE MEXICO APASEO","CENTRACORE COMPANY DE MEXICO S DE RL DE CV","CME170728ME4","EPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN 8 AM a 5 PM","2023-07-19","2023-07-19 08:21:25.933149+00","2023-07-19 08:06:58.067782+00","412"
"333","PREMOLD CORPORATION MEXICO APODACA","PREMOLD CORPORATION MEXICO, SA DE CV","PCM160623MF8","EPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO RECEPCIÓN 8 AM A 5 PM","2023-07-19","2023-07-19 08:21:26.086863+00","2023-07-19 08:06:58.296801+00","413"
"334","WURTH INDUSTRY DE MEXICO EL MARQUES","WURTH INDUSTRY DE MEXICO S DE RL DE CV","CTC861104I92","","2023-07-19","2023-07-19 08:21:26.24361+00","2023-07-19 08:06:58.528263+00","414"
"335","FARMER PARTS QUERETARO","FARMER PARTS SA DE CV","FPA100629AB9","","2023-07-19","2023-07-19 08:21:26.401217+00","2023-07-19 08:06:58.762224+00","415"
"336","OSCAR MARTIN GONZALEZ MUÑOZ ""ENCARNACIÓN DE DÍAZ","OSCAR MARTIN GONZALEZ MUÑOZ","GOMO880209BI1","","2023-07-19","2023-07-19 08:21:26.557146+00","2023-07-19 08:06:59.003955+00","416"
"337","CESAR ALBERTO GONZALEZ  ""LA CIENEGUITA","CESAR ALBERTO GONZALEZ","GODC770626KB3","","2023-07-19","2023-07-19 08:21:26.712814+00","2023-07-19 08:06:59.238308+00","417"
"338","CARLOS ISRAEL CUEVAS AGUILERA ""la noria","CARLOS ISRAEL CUEVAS AGUILERA","CUAC861001LK9","","2023-07-19","2023-07-19 08:21:26.8661+00","2023-07-19 08:06:59.467555+00","418"
"339","GUILLERMO ARTURO GONZALEZ MUÑOZ ""jalisco","GUILLERMO ARTURO GONZALEZ MUÑOZ","GOMG920730S71","","2023-07-19","2023-07-19 08:21:27.018385+00","2023-07-19 08:06:59.698286+00","419"
"340","PACE INDUSTRIES DE MEXICO","PACE INDUSTRIES DE MEXICO, SA DE CV","PIM940304J12","","2023-07-19","2023-07-19 08:21:27.174987+00","2023-07-19 08:06:59.929169+00","420"
"341","ROGERS FOAM MEXICO","ROGERS FOAM MEXICO S DE RL DE CV","RFM030526L6A","","2023-07-19","2023-07-19 08:21:27.329392+00","2023-07-19 08:07:00.157236+00","421"
"342","DCF MEXICANA EL SALTO","DCF MEXICANA","DME070926GE4","","2023-07-19","2023-07-19 08:21:27.482392+00","2023-07-19 08:07:00.389938+00","422"
"343","CONAGRA FOODS","CONAGRA FOODS|","CFM600506V82","","2023-07-19","2023-07-19 08:21:27.637327+00","2023-07-19 08:07:00.625215+00","423"
"344","INDUSTRIAS MAN DE MEXICO Naucalpan de Juárez","INDUSTRIAS MAN DE MEXICO, SA DE CV","IMM9208289SA","","2023-07-19","2023-07-19 08:21:27.791384+00","2023-07-19 08:07:00.860804+00","424"
"345","DIMAQ","DIMAQ","POPA671208KI6","","2023-07-19","2023-07-19 08:21:27.94581+00","2023-07-19 08:07:01.103012+00","425"
"346","AGENCIA ADUANAL GAMAS MEXICO cdmx","AGENCIA ADUANAL GAMAS MEXICO","AAG1202244Z5","","2023-07-19","2023-07-19 08:21:28.109069+00","2023-07-19 08:07:01.339748+00","426"
"347","FLEX N GATES MEXICO SAN JOSE ITURBIDE","FLEX N GATES MEXICO","FNG991014C66","","2023-07-19","2023-07-19 08:21:28.261088+00","2023-07-19 08:07:01.574873+00","427"
"348","SOLUCIONES EN FLUIDOS CSF  SLP","SOLUCIONES EN FLUIDOS CSF SA DE CV","SFC131016T62","","2023-07-19","2023-07-19 08:21:28.415812+00","2023-07-19 08:07:01.80623+00","428"
"349","UNIVAR SOLUTIONS MEXICO SR TULTEPEC","UNIVAR SOLUTIONS MEXICO SR","NSM1101288B1","","2023-07-19","2023-07-19 08:21:28.569117+00","2023-07-19 08:07:02.038279+00","429"
"350","ACEWAY  DE MEXICO PARQUE TECNOLOGICO INNOVACION QUERETARO EL MARQUES","ACEWAY  DE MEXICO","AME150305BI5","","2023-07-19","2023-07-19 08:21:28.723157+00","2023-07-19 08:07:02.267874+00","430"
"351","ERREKA PARQUE INDUSTRIAL FINSA","ERREKA MEX SA DE CV","EME010206EH4","","2023-07-19","2023-07-19 08:21:28.876867+00","2023-07-19 08:07:02.497753+00","431"
"352","TMD Friction Mexico  PARQUE INDUSTRIAL BENITO JUAREZ","TMD Friction Mexico SA DE CV","TFM9804032D2","","2023-07-19","2023-07-19 08:21:29.033334+00","2023-07-19 08:07:02.731163+00","432"
"353","CONVERTO QUINHER IRAPUATO","CONVERTO QUINHER IRAPUATO","CAQ8709222U9","","2023-07-19","2023-07-19 08:21:29.190133+00","2023-07-19 08:07:02.960862+00","433"
"354","BACHOCO CEDIS ZAPOPAN","BACHOCO","BAC800208B25","","2023-07-19","2023-07-19 08:21:29.350137+00","2023-07-19 08:07:03.191582+00","434"
"355","BACHOCO ""ROSTICERIA EL PECHUGON","BACHOCO","BAC800208B25","","2023-07-19","2023-07-19 08:21:29.505864+00","2023-07-19 08:07:03.4245+00","435"
"356","BACHOCO ""San Juan de dios","BACHOCO","BAC800208B25","","2023-07-19","2023-07-19 08:21:29.660829+00","2023-07-19 08:07:03.655721+00","436"
"357","Fabrica de Hielo IRAPUATO","Fabrica de Hielo","FHA160810R96","","2023-07-19","2023-07-19 08:21:29.815121+00","2023-07-19 08:07:03.891711+00","437"
"358","Fabrica de Hielo Apodaca","Fabrica de Hielo Apodaca","FHA160810R96","","2023-07-19","2023-07-19 08:21:29.968846+00","2023-07-19 08:07:04.120245+00","438"
"359","3 GUERRAS MONTERREY NUEVO LEÓN","3 GUERRAS MONTERREY","ACT6808066SA","","2023-07-19","2023-07-19 08:21:30.122111+00","2023-07-19 08:07:04.349726+00","439"
"360","NOVATECLEON LEÓN","NOVATECLEON S.A DE C.V","NOV130806SE1","","2023-07-19","2023-07-19 08:21:30.276572+00","2023-07-19 08:07:04.584562+00","440"
"361","PAN BUENO PLANTA","PAN BUENO SA DE CV","PBU800306BQ5","","2023-07-19","2023-07-19 08:21:30.437684+00","2023-07-19 08:07:04.818731+00","441"
"362","PAN BUENO CEDIS CORDOBA","CEDIS CORDOBA PAN BUENO S.A DE C.V","PBU800306BQ5","EPP COMPLETO, MATERIAL DE SUJECCIÓN, DOCS DE UNIDAD Y OPERADOR VIGENTES, CERTI FUMIGACIÓN","2023-07-19","2023-07-19 08:21:30.591718+00","2023-07-19 08:07:05.06744+00","442"
"363","Acero Sueco Palme GDL","Acero Sueco Palme","ASP600721PX5","","2023-07-19","2023-07-19 08:21:30.745719+00","2023-07-19 08:07:05.308663+00","443"
"364","Minerales Inguaran Queretaro","Minerales inguaran SA de CV","MIN0908317S6","","2023-07-19","2023-07-19 08:21:30.899195+00","2023-07-19 08:07:05.541515+00","444"
"365","BACHOCO ""AMATLAN DE LOS REYES","BACHOCO","BAC800208B25","","2023-07-19","2023-07-19 08:21:31.055445+00","2023-07-19 08:07:05.774295+00","445"
"366","BACHOCO ""REFORMA","BACHOCO","BAC800208B25","","2023-07-19","2023-07-19 08:21:31.220335+00","2023-07-19 08:07:06.00733+00","446"
"367","BACHOCO ""SANTA TERESITA","BACHOCO","BAC800208B25","","2023-07-19","2023-07-19 08:21:31.374937+00","2023-07-19 08:07:06.243735+00","447"
"368","BACHOCO ""VALLARTA UNIVERSIDAD","BACHOCO","BAC800208B25","","2023-07-19","2023-07-19 08:21:31.529937+00","2023-07-19 08:07:06.477574+00","448"
"369","ROZER FOODS","ROZER FOODS","MCA1810304X3","","2023-07-19","2023-07-19 08:21:31.689032+00","2023-07-19 08:07:06.709793+00","449"
"370","BACHOCO ""MEXICALTZINGO","BACHOCO","BAC800208B25","","2023-07-19","2023-07-19 08:21:31.842149+00","2023-07-19 08:07:06.939518+00","450"
"371","BACHOCO WALMART","BACHOCO WALMART","BAC800208B25","","2023-07-19","2023-07-19 08:21:31.998563+00","2023-07-19 08:07:07.167644+00","451"
"372","BACHOCO BODEGA AURRERA	 Valle de los Molinos","BACHOCO BODEGA AURRERA","BAC800208B25","","2023-07-19","2023-07-19 08:21:32.160241+00","2023-07-19 08:07:07.397605+00","452"
"373","BEHEMO TOTOLTEPEC","BEHEMO  SA DE CV","CASL680118KC6","","2023-07-19","2023-07-19 08:21:32.316478+00","2023-07-19 08:07:07.627843+00","453"
"374","RICARDO ROSALES","RICARDO ROSALES","NOV160219CN7","","2023-07-19","2023-07-19 08:21:32.484247+00","2023-07-19 08:07:07.870047+00","454"
"375","MARS MEXICO","MARS MEXICO","NOV160219CN7","","2023-07-19","2023-07-19 08:21:32.638898+00","2023-07-19 08:07:08.103717+00","455"
"376","PILGRIM´S PRIDE JURICA","PILGRIM´S PRIDE S DE RL DE CV","PPR910701LEA","","2023-07-19","2023-07-19 08:21:32.798441+00","2023-07-19 08:07:08.336753+00","456"
"377","BACHOCO ""EL PECHUGÓN"" Av. Juan Pablo II","BACHOCO","BAC800208B25","","2023-07-19","2023-07-19 08:21:32.953215+00","2023-07-19 08:07:08.56808+00","457"
"378","BACHOCO ""EL PECHUGÓN"" VALDEPEÑAS","BACHOCO","BAC800208B25","","2023-07-19","2023-07-19 08:21:33.107215+00","2023-07-19 08:07:08.799586+00","458"
"379","LINK PACK NAVEX PARK","LINK PACK DE MEXICO SA DE CV","LPM0507185L4","","2023-07-19","2023-07-19 08:21:33.260353+00","2023-07-19 08:07:09.029637+00","459"
"380","LUIS DEL HOYO SANCHES CASTELLANOS link pack","LUIS DEL HOYO SANCHES CASTELLANOS","HOSL52072856A","","2023-07-19","2023-07-19 08:21:33.417382+00","2023-07-19 08:07:09.262684+00","460"
"381","HOPE INDUSTRIES DE MEXICO","HOPE INDUSTRIES DE MEXICO S.A. DE C.V.","HIM970113NH9","","2023-07-19","2023-07-19 08:21:33.571417+00","2023-07-19 08:07:09.496514+00","461"
"382","HPP Systems de Mexico ESTADO DE MÉXICO","HPP Systems de Mexico S.A. de C.V.","HSM020611KN8","EPP COMPLETO (CHALECO VERDE), DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN 8 AM a 5 PM","2023-07-19","2023-07-19 08:21:33.724202+00","2023-07-19 08:07:09.729818+00","462"
"383","SABORMEX PUEBLA","SABORMEX S.A","SAB9407014V3","EPP COMPLETO (CHALECO, CASCO, ZAPATO DE SEGURIDAD, CUBREBOCAS) DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECCIÓN","2023-07-19","2023-07-19 08:21:33.88106+00","2023-07-19 08:07:09.959604+00","463"
"384","FLEXOTRAY","FLEXOTRAY S,A DE C.V","FLE160311634","EPP COMPLETO (CHALECO, CASCO, ZAPATO DE SEGURIDAD, CUBREBOCAS) DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECCIÓN","2023-07-19","2023-07-19 08:21:34.035114+00","2023-07-19 08:07:10.191488+00","464"
"385","BERSHKA PARQUE INDUSTRIAL PYME","BERSHKA","BME0004112J6","","2023-07-19","2023-07-19 08:21:34.189323+00","2023-07-19 08:07:10.429925+00","465"
"386","MALASA PARQUE BERNARDO QUINTANA","MALASA","BME0004112J6","","2023-07-19","2023-07-19 08:21:34.346367+00","2023-07-19 08:07:10.663657+00","466"
"387","1302 QRO La piedad","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:34.499336+00","2023-07-19 08:07:10.89472+00","467"
"388","TIENDAS TRES B CEDIS CELAYA 1007","TIENDAS TRES B SA DE CV","TTB040915CY9","","2023-07-19","2023-07-19 08:21:34.672843+00","2023-07-19 08:07:11.131733+00","468"
"389","BACHOCO ""PECHUGÓN"" AV AVIACIÓN","BACHOCO","BAC800208B25","","2023-07-19","2023-07-19 08:21:34.827271+00","2023-07-19 08:07:11.359577+00","469"
"390","BACHOCO ""PECHUGON"" Prol. Río Blanco","BACHOCO","BAC800208B25","","2023-07-19","2023-07-19 08:21:34.98206+00","2023-07-19 08:07:11.594236+00","470"
"391","EQUIPOS, REFACCIONES Y CONTROLES DE OCCIDENTE GUADALAJARA","EQUIPOS, REFACCIONES Y CONTROLES DE OCCIDENTE S.A. DE C.V.","ERC9402218K7","","2023-07-19","2023-07-19 08:21:35.147969+00","2023-07-19 08:07:11.824749+00","471"
"392","1719 CERRO GORDO","TIENDAS TRES B SA DE CV","TSO991022PB6","","2023-07-19","2023-07-19 08:21:35.303258+00","2023-07-19 08:07:12.056702+00","472"
"393","1568 SAN JOSÉ EL ALTO","TIENDAS TRES B SA DE CV","TSO991022PB6","","2023-07-19","2023-07-19 08:21:35.457857+00","2023-07-19 08:07:12.292814+00","473"
"394","BACHOCO PUERTO VALLARTA","BACHOCO","BAC800208B25","","2023-07-19","2023-07-19 08:21:35.613269+00","2023-07-19 08:07:12.526014+00","474"
"395","POLLO FELIZ","POLLO FELIZ","BAC800208B25","","2023-07-19","2023-07-19 08:21:35.766825+00","2023-07-19 08:07:12.759755+00","475"
"396","Estafeta","Estafeta","IMM9208289SA","","2023-07-19","2023-07-19 08:21:35.918451+00","2023-07-19 08:07:12.999515+00","476"
"397","1154 LA LUZ","TIENDAS TRES B SA DE CV","TSO991022PB6","","2023-07-19","2023-07-19 08:21:36.073397+00","2023-07-19 08:07:13.236098+00","477"
"398","Mabe TyP Jurica","Mabe TyP","MAB911203RR7","","2023-07-19","2023-07-19 08:21:36.224314+00","2023-07-19 08:07:13.468617+00","478"
"399","MABE LEISER SLP","MABE LEISER","MAB911203RR7","","2023-07-19","2023-07-19 08:21:36.379358+00","2023-07-19 08:07:13.69986+00","479"
"400","1808 TEQUISQUIAPAN","TIENDAS TRES B SA DE CV","TSO991022PB6","","2023-07-19","2023-07-19 08:21:36.533033+00","2023-07-19 08:07:13.935736+00","480"
"401","1517 SAN ROQUE","TIENDAS TRES B SA DE CV","TSO991022PB6","","2023-07-19","2023-07-19 08:21:36.687809+00","2023-07-19 08:07:14.169685+00","481"
"402","1927 FELIPE ANGELES","TIENDAS TRES B SA DE CV","TSO991022PB6","","2023-07-19","2023-07-19 08:21:36.843385+00","2023-07-19 08:07:14.402717+00","482"
"403","LOGISITICA JOSUE UNO NUEVE ECATEPEC","LOGISITICA JOSUE UNO NUEVE SA DE CV","CLE170316AZ0","","2023-07-19","2023-07-19 08:21:36.999031+00","2023-07-19 08:07:14.639211+00","483"
"404","AUMA SALTILLO SALTILLO","AUMA SALTILLO SA DE CV","ASA141101JC7","","2023-07-19","2023-07-19 08:21:37.154343+00","2023-07-19 08:07:14.873591+00","484"
"405","1475 LOMAS DE SAN JUAN","TIENDAS TRES B SA DE CV","TSO991022PB6","","2023-07-19","2023-07-19 08:21:37.307354+00","2023-07-19 08:07:15.107575+00","485"
"406","1293 SANTA CRUZ NIETO","TIENDAS TRES B SA DE CV","TSO991022PB6","","2023-07-19","2023-07-19 08:21:37.468123+00","2023-07-19 08:07:15.33871+00","486"
"407","PLAYEXSA","PLAYEXSA","RPS110525M55","","2023-07-19","2023-07-19 08:21:37.621379+00","2023-07-19 08:07:15.572816+00","487"
"408","MARTIN SPROCKET & GEAR DE MEXICO GDL","MARTIN SPROCKET & GEAR DE MEXICO","MSG950130H10","","2023-07-19","2023-07-19 08:21:37.776386+00","2023-07-19 08:07:15.807246+00","488"
"409","SUMINISTROS INDUSTRIALES TAPATIOS","SUMINISTROS INDUSTRIALES TAPATIOS SA DE CV","SIT010918T88","","2023-07-19","2023-07-19 08:21:37.930391+00","2023-07-19 08:07:16.039726+00","489"
"410","Sanmina-SCI Systems de Mexico Chapala","Sanmina-SCI Systems de Mexico, SA de CV","SSM950412Q42","","2023-07-19","2023-07-19 08:21:38.08631+00","2023-07-19 08:07:16.271624+00","490"
"411","APPLIED MEXICO","APPLIED MEXICO SA DE CV","","","2023-07-19","2023-07-19 08:21:38.241569+00","2023-07-19 08:07:16.508427+00","491"
"412","TQ-1 DE MEXICO ""PURISIMA DEL RINCON GTO","TQ-1 DE MEXICO, SA DE CV","TME120209PF4","","2023-07-19","2023-07-19 08:21:38.400439+00","2023-07-19 08:07:16.741907+00","492"
